R,<dΨ1/dr|dΨ1/dr>,<1|d/dr|2>,<dΨ1/dr|dΨ2/dr>,<dΨ2/dr|dΨ2/dr>
1.4113402061855669,6.93446545909254e-8,0.00020941769763404669,-0.0,6.93446545909254e-8
1.4309278350515464,1.2577322099965346e-7,0.00028203368220121636,-0.0,1.2577322099965346e-7
1.4505154639175257,2.2839749064422804e-7,0.0003800603377908881,-0.0,2.2839749064422804e-7
1.4701030927835053,4.1529852835144935e-7,0.0005124919900790395,-0.0,4.1529852835144935e-7
1.4896907216494846,7.562015067954073e-7,0.0006915532953831704,-0.0,7.562015067954073e-7
1.5092783505154639,1.379017442046123e-6,0.000933881485762191,-0.0,1.379017442046123e-6
1.5288659793814432,2.5188925046249172e-6,0.0012621521255449372,-0.0,2.5188925046249172e-6
1.5484536082474225,4.60910115984402e-6,0.0017073203073915445,-0.0,4.60910115984402e-6
1.5680412371134018,8.449991146880452e-6,0.00231171884270986,-0.0,8.449991146880452e-6
1.5876288659793816,1.552405938799003e-5,0.003133354507473636,-0.0,1.552405938799003e-5
1.6072164948453609,2.8585749103212117e-5,0.004251886615760567,-0.0,2.8585749103212117e-5
1.6268041237113402,5.27701041011569e-5,0.00577697996560289,-0.0,5.27701041011569e-5
1.6463917525773195,9.768648005723215e-5,0.007860028421385794,-0.0,9.768648005723215e-5
1.6659793814432988,0.00018139344063216963,0.010710695561779391,-0.0,0.00018139344063216963
1.6855670103092784,0.00033799037100332104,0.01462039310636618,-0.0,0.00033799037100332104
1.7051546391752577,0.0006322162107210653,0.019995842148503386,-0.0,0.0006322162107210653
1.724742268041237,0.0011877452355239866,0.027407443939381635,-0.0,0.0011877452355239866
1.7443298969072165,0.002242535858531618,0.03765967641336285,-0.0,0.002242535858531618
1.7639175257731958,0.004258267031621002,0.05189473899719172,-0.0,0.004258267031621002
1.7835051546391751,0.00813948984734248,0.07174728621362277,-0.0,0.00813948984734248
1.8030927835051545,0.015679236381857843,0.09957936207630341,-0.0,0.015679236381857843
1.822680412371134,0.030482028580761968,0.13884454414132258,-0.0,0.030482028580761968
1.8422680412371133,0.05991982832677988,0.19466692385517909,-0.0,0.05991982832677988
1.8618556701030928,0.1193966236478355,0.27479125582556446,-0.0,0.1193966236478355
1.8814432989690721,0.24198837918415642,0.39120476979061647,-0.0,0.24198837918415642
1.9010309278350515,0.5012679429672969,0.5630433736835111,-0.0,0.5012679429672969
1.9206185567010308,1.0686982385741555,0.8221185219244281,-0.0,1.0686982385741555
1.9402061855670103,2.369880504896441,1.2242499928503974,-0.0,2.369880504896441
1.9597938144329896,5.564518993766947,1.8759475882558287,-0.0,5.564518993766947
1.979381443298969,14.342370552285946,3.011739156483733,-0.0,14.342370552285946
1.9989690721649485,39.302637529855,4.985603470859643,-0.0,39.302637529855
2.0185567010309278,139.9157709310131,9.40676340228131,-0.0,139.9157709310131
2.038144329896907,498.66213845509947,17.758655544108013,-0.0,498.66213845509947
2.0577319587628864,468.37204800607753,17.210852015370435,-0.0,468.37204800607753
2.0773195876288657,120.16676828601332,8.717642933712279,-0.0,120.16676828601332
2.096907216494845,35.716392814245715,4.75270306113618,-0.0,35.716392814245715
2.1164948453608248,13.033255263660811,2.8710009525212725,-0.0,13.033255263660811
2.136082474226804,5.110828791596927,1.7978462655453538,-0.0,5.110828791596927
2.1556701030927834,2.191200261222126,1.1771936790098811,-0.0,2.191200261222126
2.175257731958763,0.9924505275601037,0.7922483063264398,-0.0,0.9924505275601037
2.1948453608247425,0.46697055044251695,0.5434400383845782,-0.0,0.46697055044251695
2.2144329896907218,0.22596162528506228,0.37802822829726485,-0.0,0.22596162528506228
2.234020618556701,0.1116910143456676,0.2657761484772205,-0.0,0.1116910143456676
2.2536082474226804,0.05613299442120307,0.18841522406155203,-0.0,0.05613299442120307
2.2731958762886597,0.028588677112361422,0.1344633465286778,-0.0,0.028588677112361422
2.292783505154639,0.014719372283522415,0.09648316262537578,-0.0,0.014719372283522415
2.3123711340206183,0.0076473059246319275,0.06954423241805766,-0.0,0.0076473059246319275
2.3319587628865976,0.00400348955218874,0.0503183319341194,-0.0,0.00400348955218874
2.3515463917525774,0.0021095907501573145,0.03652632611227655,-0.0,0.0021095907501573145
2.3711340206185567,0.001117896683590461,0.026589349944124836,-0.0,0.001117896683590461
2.390721649484536,0.0005953004580207071,0.01940327300693443,-0.0,0.0005953004580207071
2.4103092783505153,0.0003183790802934941,0.014189893890355259,-0.0,0.0003183790802934941
2.4298969072164947,0.00017092770991442073,0.01039712159159111,-0.0,0.00017092770991442073
2.449484536082474,9.207889387804765e-5,0.007631096275696215,-0.0,9.207889387804765e-5
2.4690721649484537,4.97547705655712e-5,0.005609501260136379,-0.0,4.97547705655712e-5
2.488659793814433,2.6959127572310823e-5,0.0041291418524865495,-0.0,2.6959127572310823e-5
2.5082474226804123,1.4644041426475849e-5,0.0030432481056730993,-0.0,1.4644041426475849e-5
2.5278350515463917,7.972646978599017e-6,0.0022454746325703905,-0.0,7.972646978599017e-6
2.547422680412371,4.349561486905424e-6,0.0016585540274469785,-0.0,4.349561486905424e-6
2.5670103092783503,2.3774701417477705e-6,0.0012262087805487538,-0.0,2.3774701417477705e-6
2.5865979381443296,1.3018034867908964e-6,0.0009073599399070236,-0.0,1.3018034867908964e-6
2.606185567010309,7.139670033054481e-7,0.0006719639222525496,-0.0,7.139670033054481e-7
2.625773195876288,3.921581042450089e-7,0.0004980093346204017,-0.0,3.921581042450089e-7
2.645360824742268,2.1569898003946476e-7,0.0003693439008499217,-0.0,2.1569898003946476e-7
2.6649484536082473,1.1879471054296218e-7,0.0002740977293338193,-0.0,1.1879471054296218e-7
2.6845360824742266,6.550442281758267e-8,0.0002035364512365726,-0.0,6.550442281758267e-8
2.7041237113402063,3.6160524857413464e-8,0.00015122522825892468,-0.0,3.6160524857413464e-8
2.7237113402061857,1.998289521987242e-8,0.00011241806133246568,-0.0,1.998289521987242e-8
2.743298969072165,1.105385783409701e-8,8.361107809390482e-5,-0.0,1.105385783409701e-8
2.7628865979381443,6.120338873548123e-9,6.221493052245294e-5,-0.0,6.120338873548123e-9
2.7824742268041236,3.3917200574420716e-9,4.631448996763312e-5,-0.0,3.3917200574420716e-9
2.802061855670103,1.881160551185606e-9,3.4492114361238525e-5,-0.0,1.881160551185606e-9
2.821649484536082,1.0441735944451706e-9,2.569763990442968e-5,-0.0,1.0441735944451706e-9
2.8412371134020615,5.800261158777695e-10,1.9152728841222735e-5,-0.0,5.800261158777695e-10
2.860824742268041,3.223865099087255e-10,1.42789185504279e-5,-0.0,3.223865099087255e-10
2.8804123711340206,1.7934886189403491e-10,1.0650161622648958e-5,-0.0,1.7934886189403491e-10
2.9,9.981770043978053e-11,7.945306699800496e-6,-0.0,9.981770043978053e-11
