R,V1,V2,V3
2.6649484536082473,52347.772395559936,42690.82599023691,39192.81467708011
2.6845360824742266,52319.3758527112,42600.354937946904,39317.86869410653
2.7041237113402063,52297.87041975257,42514.835370698296,39435.12487841454
2.7237113402061857,52282.42457357873,42434.08606058879,39545.09269671197
2.743298969072165,52272.29016847977,42357.874069251884,39648.1813413947
2.7628865979381443,52266.79530906641,42285.997447992675,39744.78688961278
2.7824742268041236,52265.33754864865,42218.24276129055,39835.30541851623
2.802061855670103,52267.358918567304,42154.390364722894,39920.13299325077
2.821649484536082,52272.294282549396,42094.295803443274,39999.65183043402
2.8412371134020615,52279.637365644034,42037.749258610376,40074.20362597161
2.860824742268041,52288.952102848736,41984.588760981715,40144.1227035925
2.8804123711340206,52299.8635874433,41934.647415909385,40209.74338702564
